input_file,n,si,ti
Sparks_4096x2160_5994fps_HDR10.mp4,162,2.775,0.214
Sparks_4096x2160_5994fps_HDR10.mp4,163,2.798,0.187
Sparks_4096x2160_5994fps_HDR10.mp4,164,2.841,0.197
Sparks_4096x2160_5994fps_HDR10.mp4,165,2.908,0.208
Sparks_4096x2160_5994fps_HDR10.mp4,166,2.952,0.221
Sparks_4096x2160_5994fps_HDR10.mp4,167,2.967,0.179
Sparks_4096x2160_5994fps_HDR10.mp4,168,3.018,0.203
Sparks_4096x2160_5994fps_HDR10.mp4,169,3.08,0.208
Sparks_4096x2160_5994fps_HDR10.mp4,170,3.138,0.227
Sparks_4096x2160_5994fps_HDR10.mp4,171,3.159,0.187
Sparks_4096x2160_5994fps_HDR10.mp4,172,3.203,0.19
Sparks_4096x2160_5994fps_HDR10.mp4,173,3.266,0.201
Sparks_4096x2160_5994fps_HDR10.mp4,174,3.322,0.23
Sparks_4096x2160_5994fps_HDR10.mp4,175,3.347,0.185
Sparks_4096x2160_5994fps_HDR10.mp4,176,3.397,0.208
Sparks_4096x2160_5994fps_HDR10.mp4,177,3.465,0.218
Sparks_4096x2160_5994fps_HDR10.mp4,178,3.511,0.229
Sparks_4096x2160_5994fps_HDR10.mp4,179,3.539,0.196
Sparks_4096x2160_5994fps_HDR10.mp4,180,3.597,0.21
Sparks_4096x2160_5994fps_HDR10.mp4,181,3.669,0.222
Sparks_4096x2160_5994fps_HDR10.mp4,182,3.714,0.229
Sparks_4096x2160_5994fps_HDR10.mp4,183,3.745,0.197
Sparks_4096x2160_5994fps_HDR10.mp4,184,3.786,0.211
Sparks_4096x2160_5994fps_HDR10.mp4,185,3.848,0.222
Sparks_4096x2160_5994fps_HDR10.mp4,186,3.908,0.247
Sparks_4096x2160_5994fps_HDR10.mp4,187,3.942,0.203
Sparks_4096x2160_5994fps_HDR10.mp4,188,3.987,0.225
Sparks_4096x2160_5994fps_HDR10.mp4,189,4.057,0.253
Sparks_4096x2160_5994fps_HDR10.mp4,190,4.122,0.256
Sparks_4096x2160_5994fps_HDR10.mp4,191,4.154,0.204
Sparks_4096x2160_5994fps_HDR10.mp4,192,4.203,0.239
Sparks_4096x2160_5994fps_HDR10.mp4,193,4.281,0.247
Sparks_4096x2160_5994fps_HDR10.mp4,194,4.342,0.275
Sparks_4096x2160_5994fps_HDR10.mp4,195,4.374,0.209
Sparks_4096x2160_5994fps_HDR10.mp4,196,4.426,0.242
Sparks_4096x2160_5994fps_HDR10.mp4,197,4.512,0.258
Sparks_4096x2160_5994fps_HDR10.mp4,198,4.569,0.286
Sparks_4096x2160_5994fps_HDR10.mp4,199,4.602,0.222
Sparks_4096x2160_5994fps_HDR10.mp4,200,4.647,0.235
Sparks_4096x2160_5994fps_HDR10.mp4,201,4.73,0.263
Sparks_4096x2160_5994fps_HDR10.mp4,202,4.785,0.288
Sparks_4096x2160_5994fps_HDR10.mp4,203,4.838,0.335
Sparks_4096x2160_5994fps_HDR10.mp4,204,4.889,0.304
Sparks_4096x2160_5994fps_HDR10.mp4,205,4.98,0.297
Sparks_4096x2160_5994fps_HDR10.mp4,206,5.02,0.317
Sparks_4096x2160_5994fps_HDR10.mp4,207,5.059,0.276
Sparks_4096x2160_5994fps_HDR10.mp4,208,5.118,0.318
Sparks_4096x2160_5994fps_HDR10.mp4,209,5.222,0.328
Sparks_4096x2160_5994fps_HDR10.mp4,210,5.257,0.366
Sparks_4096x2160_5994fps_HDR10.mp4,211,5.299,0.33
Sparks_4096x2160_5994fps_HDR10.mp4,212,5.356,0.308
Sparks_4096x2160_5994fps_HDR10.mp4,213,5.452,0.301
Sparks_4096x2160_5994fps_HDR10.mp4,214,5.495,0.338
Sparks_4096x2160_5994fps_HDR10.mp4,215,5.543,0.282
Sparks_4096x2160_5994fps_HDR10.mp4,216,5.597,0.28
Sparks_4096x2160_5994fps_HDR10.mp4,217,5.697,0.299
Sparks_4096x2160_5994fps_HDR10.mp4,218,5.747,0.327
Sparks_4096x2160_5994fps_HDR10.mp4,219,5.793,0.247
Sparks_4096x2160_5994fps_HDR10.mp4,220,5.849,0.259
Sparks_4096x2160_5994fps_HDR10.mp4,221,5.942,0.275
Sparks_4096x2160_5994fps_HDR10.mp4,222,5.998,0.335
Sparks_4096x2160_5994fps_HDR10.mp4,223,6.055,0.258
Sparks_4096x2160_5994fps_HDR10.mp4,224,6.11,0.29
Sparks_4096x2160_5994fps_HDR10.mp4,225,6.201,0.312
Sparks_4096x2160_5994fps_HDR10.mp4,226,6.253,0.316
Sparks_4096x2160_5994fps_HDR10.mp4,227,6.306,0.28
Sparks_4096x2160_5994fps_HDR10.mp4,228,6.36,0.285
Sparks_4096x2160_5994fps_HDR10.mp4,229,6.47,0.351
Sparks_4096x2160_5994fps_HDR10.mp4,230,6.52,0.363
Sparks_4096x2160_5994fps_HDR10.mp4,231,6.576,0.309
Sparks_4096x2160_5994fps_HDR10.mp4,232,6.625,0.348
