input_file,si,ti,n
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.683,0.495,121
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.719,0.43,122
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.727,0.304,123
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.766,0.33,124
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.825,0.331,125
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.831,0.367,126
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.841,0.325,127
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.88,0.352,128
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.941,0.346,129
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.955,0.369,130
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.963,0.319,131
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,2.012,0.351,132
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,2.08,0.35,133
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,2.096,0.37,134
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,2.105,0.319,135
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,2.144,0.348,136
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,2.204,0.346,137
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,2.229,0.372,138
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,2.238,0.317,139
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,2.276,0.36,140
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,2.339,0.35,141
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,2.367,0.383,142
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,2.385,0.335,143
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,2.429,0.362,144
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,2.504,0.365,145
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,2.547,0.394,146
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,2.559,0.348,147
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,2.611,0.378,148
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,2.68,0.373,149
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,2.71,0.402,150
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,2.726,0.364,151
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,2.783,0.384,152
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,2.855,0.374,153
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,2.897,0.429,154
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,2.912,0.363,155
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,2.952,0.39,156
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,3.034,0.393,157
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,3.081,0.424,158
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,3.099,0.372,159
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,3.148,0.391,160
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,3.224,0.387,161
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,3.271,0.416,162
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,3.299,0.365,163
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,3.345,0.392,164
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,3.421,0.39,165
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,3.469,0.424,166
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,3.489,0.359,167
