input_file,si,ti,n
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_SDR.mp4,0.0,0.0,107
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_SDR.mp4,0.0,0.0,108
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_SDR.mp4,0.0,0.0,109
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_SDR.mp4,0.0,0.0,110
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_SDR.mp4,0.0,0.0,111
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_SDR.mp4,0.0,0.0,112
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_SDR.mp4,0.0,0.0,113
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_SDR.mp4,0.0,0.0,114
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_SDR.mp4,0.0,0.0,115
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_SDR.mp4,0.0,0.0,116
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_SDR.mp4,0.0,0.0,117
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_SDR.mp4,0.0,0.0,118
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_SDR.mp4,0.0,0.0,119
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_SDR.mp4,0.0,0.0,120
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_SDR.mp4,55.553,14.687,121
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_SDR.mp4,55.553,0.004,122
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_SDR.mp4,55.553,0.002,123
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_SDR.mp4,55.553,0.001,124
/Volumes/Data/Netflix/CosmosLaundromat_2048x858_24fps_SDR.mp4,55.553,0.0,125
